"Quelle: Informationsgemeinschaft zur Feststellung der Verbreitung von Werbeträgern e.V. (IVW)";

"Beachten Sie bei der Verwendung des Downloads die Nutzungsbedingungen (http://ausweisung.ivw-online.de/nutzungsbedingungen_ivw-ausweisung_online.pdf)";

"Zeitraum: 10-2020";
"Filter: Inhalt > Thema > Nachrichten";

"Die Nutzungsdaten sind derzeit in einer Übergangsphase eingeschränkt vergleichbar, weil Angebote unterschiedliche Formen der Consent-Einholung verwenden. Die tatsächliche Nutzung eines Werbeträgers kann höher sein, als die durch die Consent-Einholung beeinflussten, ermittelten Werte. Aktuell arbeitet die IVW in Zusammenarbeit mit der INFOnline am Rollout eines neuen Messverfahrens, welches es dem Publisher ermöglicht, eine Vollerhebung mit einer anonymen Messung durchzuführen. Wir bitten dies bei der Nutzung der Daten zu berücksichtigen.";

"Hinweis: Tage, die nicht regelkonform gemessen wurden, werden nicht ausgewiesen!";

"AngebotsschlÃ¼ssel";"Angebot";"Typ";"ausgewiesene Tage";"Kat-Visits";"PIs in gewÃ¤hlten Kategorien gesamt";"PIs in gewÃ¤hlten Kategorien Inland";"PIs Anteil Inland";"PIs in gewÃ¤hlten Kategorien Ausland";
"1&1";"1&1";"gesamt";" 31/31";2.125.290;4.863.404;4.774.959;98 %;88.445;
"1&1";"1&1";"Online (http://home.1und1.de)";" 31/31";1.332.094;3.126.743;3.079.748;98 %;46.995;
"1&1";"1&1";"MEW (http://1und1.de)";" 31/31";793.196;1.736.661;1.695.211;98 %;41.450;
"104.6rtl.com";"104.6rtl.com";"gesamt";" 31/31";945;1.242;1.215;98 %;27;
"104.6rtl.com";"104.6rtl.com";"Online (http://104.6rtl.com)";" 31/31";945;1.242;1.215;98 %;27;
"A. Miller Zeitungsverlag KG";"A. Miller Zeitungsverlag KG";"gesamt";" 31/31";326.319;658.026;580.129;88 %;77.897;
"A. Miller Zeitungsverlag KG";"A. Miller Zeitungsverlag KG";"Online (http://www.traunsteiner-tagblatt.de)";" 31/31";326.319;658.026;580.129;88 %;77.897;
"Aachener Zeitung";"Aachener Zeitung";"gesamt";" 31/31";647.041;1.521.525;1.411.281;93 %;110.244;
"Aachener Zeitung";"Aachener Zeitung";"Online (http://www.aachener-zeitung.de)";" 31/31";646.666;1.521.006;1.410.765;93 %;110.241;
"Aachener Zeitung";"Aachener Zeitung Mobile";"MEW (http://www.aachener-zeitung.de/mobile)";" 31/31";375;519;516;99 %;3;
"Abendzeitung München";"Abendzeitung München";"gesamt";" 31/31";3.376.439;5.193.851;4.935.106;95 %;258.745;
"Abendzeitung München";"Abendzeitung München";"Online (http://www.az-muenchen.de)";" 31/31";608.839;1.182.103;1.092.833;92 %;89.270;
"Abendzeitung München";"Abendzeitung München App";"Apps (gesamt)";" 31/31";374.299;812.075;770.449;95 %;41.626;
"Abendzeitung München";"Abendzeitung München App";"Apps (Smartphone)";" 31/31";374.299;812.075;770.449;95 %;41.626;
"Abendzeitung München";"Abendzeitung München Mobil";"MEW (http://m.abendzeitung-muenchen.de)";" 31/31";2.393.301;3.199.673;3.071.824;96 %;127.849;
"Achgut.com - Die Achse des Guten";"Achgut.com - Die Achse des Guten";"gesamt";" 31/31";2.986.150;6.756.163;6.060.983;90 %;695.180;
"Achgut.com - Die Achse des Guten";"Achgut.com - Die Achse des Guten";"Online (http://www.achgut.com)";" 31/31";2.986.150;6.756.163;6.060.983;90 %;695.180;
"agrarheute.com";"agrarheute.com";"gesamt";" 31/31";456.839;2.083.391;1.750.396;84 %;332.995;
"agrarheute.com";"agrarheute.com";"Online (http://www.agrarheute.com)";" 31/31";446.173;2.018.763;1.703.338;84 %;315.425;
"agrarheute.com";"agrarheute mobil";"MEW (http://www.agrarheute.com)";" 31/31";10.666;64.628;47.058;73 %;17.570;
"agrarzeitung App";"agrarzeitung App";"gesamt";" 31/31";10;15;15;100 %;---;
"agrarzeitung App";"agrarzeitung App";"Apps (gesamt)";" 31/31";10;15;15;100 %;---;
"agrarzeitung App";"agrarzeitung App";"Apps (Smartphone)";" 31/31";10;15;15;100 %;---;
"ahgz.de - Allgemeine Hotel- und Gastronomie-Zeitung";"ahgz.de - Allgemeine Hotel- und Gastronomie-Zeitung";"gesamt";" 31/31";145.167;278.610;252.289;91 %;26.321;
"ahgz.de - Allgemeine Hotel- und Gastronomie-Zeitung";"ahgz.de - Allgemeine Hotel- und Gastronomie-Zeitung";"Online (http://www.ahgz.de)";" 31/31";145.167;278.610;252.289;91 %;26.321;
"Aichacher Zeitung Online";"Aichacher Zeitung Online";"gesamt";" 31/31";36.388;49.126;45.878;93 %;3.248;
"Aichacher Zeitung Online";"Aichacher Zeitung Online";"Online (http://www.aichacher-zeitung.de)";" 31/31";36.388;49.126;45.878;93 %;3.248;
