"","location","date","new_cases_smoothed_per_million"
"1","Germany",2020-02-01,0.014
"2","Germany",2020-02-02,0.017
"3","Germany",2020-02-03,0.019
"4","Germany",2020-02-04,0.014
"5","Germany",2020-02-05,0.014
"6","Germany",2020-02-06,0.014
"7","Germany",2020-02-07,0.014
"8","Germany",2020-02-08,0.009
"9","Germany",2020-02-09,0.007
"10","Germany",2020-02-10,0.003
"11","Germany",2020-02-11,0.007
"12","Germany",2020-02-12,0.007
"13","Germany",2020-02-13,0.007
"14","Germany",2020-02-14,0.005
"15","Germany",2020-02-15,0.005
"16","Germany",2020-02-16,0.003
"17","Germany",2020-02-17,0.003
"18","Germany",2020-02-18,0
"19","Germany",2020-02-19,0
"20","Germany",2020-02-20,0
"21","Germany",2020-02-21,0
"22","Germany",2020-02-22,0
"23","Germany",2020-02-23,0
"24","Germany",2020-02-24,0
"25","Germany",2020-02-25,0.002
"26","Germany",2020-02-26,0.019
"27","Germany",2020-02-27,0.051
"28","Germany",2020-02-28,0.055
"29","Germany",2020-02-29,0.107
"30","Germany",2020-03-01,0.194
"31","Germany",2020-03-02,0.244
"32","Germany",2020-03-03,0.305
"33","Germany",2020-03-04,0.401
"34","Germany",2020-03-05,0.743
"35","Germany",2020-03-06,1.061
"36","Germany",2020-03-07,1.228
"37","Germany",2020-03-08,1.552
"38","Germany",2020-03-09,1.734
"39","Germany",2020-03-10,2.15
"40","Germany",2020-03-11,2.807
"41","Germany",2020-03-12,2.721
"42","Germany",2020-03-13,5.124
"43","Germany",2020-03-14,6.455
"44","Germany",2020-03-15,8.108
"45","Germany",2020-03-16,10.394
"46","Germany",2020-03-17,13.3
"47","Germany",2020-03-18,17.765
"48","Germany",2020-03-19,22.578
"49","Germany",2020-03-20,27.576
"50","Germany",2020-03-21,30.057
"51","Germany",2020-03-22,32.529
"52","Germany",2020-03-23,37.143
"53","Germany",2020-03-24,40.46
"54","Germany",2020-03-25,42.62
"55","Germany",2020-03-26,48.796
"56","Germany",2020-03-27,52.896
